# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = fastbreak_model
# start_datetime = 2025-10-05 00:42:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sine_data.json
# init = 2 (Default)
# random
#   seed = 3103514897 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,psi.1,psi.2,psi.3,psi.4
# Adaptation terminated
# Step size = 0.0171387
# Diagonal elements of inverse mass matrix:
# 0.00238716, 0.158083, 0.857078, 0.987253, 0.2091, 0.280006, 0.632137, 0.00120071, 0.00116149, 0.00131869, 0.00236363
-125.24214,0.99303509,0.017138713,8,255,0,131.41308,0.98836639,-0.82652557,10.149254,-17.675893,16.118714,-15.944795,11.566436,0.7276008,2.4265346,3.8565895,5.3798724
-123.62366,0.99585121,0.017138713,7,127,0,128.20727,1.0124931,-0.59038272,10.292037,-18.440057,16.612598,-15.990268,11.808563,0.72264917,2.3707638,3.8866479,5.4170384
-120.66778,0.98668226,0.017138713,8,255,0,127.4356,0.95404807,-0.4540053,8.7005844,-16.27475,15.696163,-16.074961,12.459253,0.76721144,2.4018407,3.9210103,5.383727
-121.66289,0.59628372,0.017138713,8,255,0,129.75251,1.0771606,-0.1778927,8.3398464,-16.873439,16.381829,-15.555533,12.73311,0.80053817,2.3218621,3.8940199,5.3918794
-125.67568,0.98681675,0.017138713,7,255,0,129.54956,1.0789415,-0.54713867,8.5121248,-16.86988,15.898368,-14.224256,11.9128,0.80772777,2.3150458,3.8644582,5.4952834
-120.57478,0.99836501,0.017138713,8,255,0,128.03756,1.0129907,-0.34806446,9.0531988,-17.526659,16.568158,-15.315407,11.631142,0.7783581,2.3416162,3.9003708,5.4361056
-121.7743,0.95120155,0.017138713,8,255,0,128.05484,0.94857966,-0.33434794,8.5227087,-16.724449,15.779634,-15.611348,14.153565,0.80028636,2.3601549,3.9825671,5.4511054
-124.66449,0.8620376,0.017138713,8,255,0,133.29854,1.0132924,-0.11700994,7.8735269,-16.541146,17.429277,-15.414262,13.204701,0.81320473,2.3477416,3.8214805,5.5428853
-124.75237,0.96484633,0.017138713,8,255,0,131.4017,1.0310296,0.11305306,7.7881818,-16.050896,15.724899,-15.935021,12.109551,0.78443904,2.3214567,3.9744178,5.2588149
-122.59012,0.88284782,0.017138713,8,255,0,127.67714,0.98457834,-0.0047785256,8.2743802,-16.562673,16.076525,-15.77074,11.68768,0.80078339,2.34374,3.9451736,5.3805537
-123.23864,0.98398023,0.017138713,8,255,0,128.3611,0.97502189,0.45405624,6.5915024,-14.906886,15.856091,-16.04726,14.068513,0.84143753,2.3419843,3.9885311,5.3678429
-121.02886,0.95881944,0.017138713,7,127,0,125.61312,0.99844468,0.61040769,6.6996496,-14.928878,15.754139,-16.026254,13.916112,0.82913035,2.3264381,3.975417,5.4037517
-121.58563,0.94103011,0.017138713,8,255,0,126.16971,1.0330266,0.01198039,7.1767956,-15.959319,16.941147,-15.633114,11.449445,0.87224365,2.3300425,3.892085,5.4177633
-120.83182,0.96601062,0.017138713,8,255,0,127.63675,1.0441727,0.13593645,7.0902782,-16.029053,17.23337,-15.870929,11.593329,0.86385926,2.3382093,3.9049298,5.3773578
-119.51348,0.96476629,0.017138713,8,255,0,123.35998,1.043269,0.2809895,6.7908572,-15.558394,16.865743,-16.054463,12.018878,0.87552817,2.3401948,3.9259018,5.3513757
-119.48558,0.99625544,0.017138713,8,255,0,123.27199,0.94394976,0.46015146,7.0799997,-15.305359,15.640271,-15.075119,12.398876,0.80505122,2.3123875,3.941723,5.4082469
